ID,CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,DESCRIPTION,CWE-ID,Operating_System,Software_Component,Version,Impact,Affected_Hardware,Network_Requirements,Affected_Protocols,Authentication_Required,Privileges_Required,User_Interaction_Required,Vendor
62,CVE-1999-0063,,5.0,MEDIUM,Cisco IOS 12.0 and other versions can be crashed by malicious UDP packets to the syslog port.,NVD-CWE-Other,,Cisco IOS,12.0 and other versions,denial of service,,remote,"UDP, syslog",,,,Cisco
63,CVE-1999-0064,,7.2,HIGH,Buffer overflow in AIX lquerylv program gives root access to local users.,NVD-CWE-Other,AIX,lquerylv program,,"code execution, gives root access",,local,,,,,
64,CVE-1999-0065,,7.5,HIGH,Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.,NVD-CWE-Other,,dtmail,,code execution,,remote,,,,,
65,CVE-1999-0066,,7.5,HIGH,AnyForm CGI remote execution.,NVD-CWE-Other,,AnyForm CGI,,remote execution,,remote,,,,,
66,CVE-1999-0067,,10.0,HIGH,phf CGI program allows remote command execution through shell metacharacters.,NVD-CWE-Other,,phf CGI program,,remote command execution,,remote,,,,,
67,CVE-1999-0068,,7.5,HIGH,CGI PHP mylog script allows an attacker to read any file on the target server.,NVD-CWE-Other,,CGI PHP mylog script,,file read access,,remote,,,,,
68,CVE-1999-0069,,7.2,HIGH,Solaris ufsrestore buffer overflow.,NVD-CWE-Other,Solaris,ufsrestore,,buffer overflow,,,,,,,
69,CVE-1999-0070,,5.0,MEDIUM,test-cgi program allows an attacker to list files on the server.,NVD-CWE-noinfo,,,,,,,,,,,
70,CVE-1999-0071,,7.5,HIGH,Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.,NVD-CWE-Other,,,,,,,,,,,
71,CVE-1999-0072,,7.2,HIGH,Buffer overflow in AIX xdat gives root access to local users.,NVD-CWE-Other,AIX,xdat,,"code execution, root access",,local,,,,,
72,CVE-1999-0073,,10.0,HIGH,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",NVD-CWE-Other,,Telnet,,gain root access,,remote,Telnet,,,,
73,CVE-1999-0074,,6.4,MEDIUM,"Listening TCP ports are sequentially allocated, allowing spoofing attacks.",NVD-CWE-Other,,sequentially allocated TCP ports,,spoofing attacks,,,TCP,,,,
74,CVE-1999-0075,,5.0,MEDIUM,PASV core dump in wu-ftpd daemon when attacker uses a QUOTE PASV command after specifying a username and password.,NVD-CWE-Other,,wu-ftpd daemon,,core dump,,remote,FTP,Yes,,No,
75,CVE-1999-0076,,5.0,MEDIUM,Buffer overflow in wu-ftp from PASV command causes a core dump.,NVD-CWE-Other,,,,,,,,,,,
76,CVE-1999-0077,,5.0,MEDIUM,Predictable TCP sequence numbers allow spoofing.,NVD-CWE-Other,,TCP sequence numbers,,spoofing,,,TCP,,,,
77,CVE-1999-0078,,1.9,LOW,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",NVD-CWE-Other,,pcnfsd,,"code execution, change file permissions",,local,RPC,No,user,,
78,CVE-1999-0079,,5.0,MEDIUM,"Remote attackers can cause a denial of service in FTP by issuing multiple PASV commands, causing the server to run out of available ports.",NVD-CWE-Other,,FTP server,,denial of service,,remote,FTP,,,No,
79,CVE-1999-0080,,10.0,HIGH,,NVD-CWE-Other,,wu-ftp FTP server,2.4,code execution as root,,remote,FTP,Yes,,,
80,CVE-1999-0081,,5.0,MEDIUM,wu-ftp allows files to be overwritten via the rnfr command.,NVD-CWE-Other,,wu-ftp,,files to be overwritten,,,FTP,,,,
81,CVE-1999-0082,,10.0,HIGH,CWD ~root command in ftpd allows root access.,NVD-CWE-Other,,,,,,,,,,,
82,CVE-1999-0083,,5.0,MEDIUM,getcwd() file descriptor leak in FTP.,NVD-CWE-Other,,FTP,,file descriptor leak,,,FTP,,,,
83,CVE-1999-0084,,7.2,HIGH,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,NVD-CWE-Other,,,,,,,,,,,
84,CVE-1999-0085,,7.5,HIGH,Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.,NVD-CWE-Other,AIX and other operating systems,rwhod,,arbitrary code execution,,remote,UDP,,,,
85,CVE-1999-0086,,5.0,MEDIUM,AIX routed allows remote users to modify sensitive files.,NVD-CWE-Other,AIX,routed,,modify sensitive files,,remote,,,,,
86,CVE-1999-0087,,5.0,MEDIUM,Denial of service in AIX telnet can freeze a system and prevent users from accessing the server.,NVD-CWE-Other,AIX,telnet,,denial of service,,remote,telnet,,,,
87,CVE-1999-0088,,10.0,HIGH,IRIX and AIX automountd services (autofsd) allow remote users to execute root commands.,NVD-CWE-Other,"IRIX, AIX",automountd services (autofsd),,remote users can execute root commands,,remote,,,,,
88,CVE-1999-0089,,7.2,HIGH,Buffer overflow in AIX libDtSvc library can allow local users to gain root access.,NVD-CWE-Other,AIX,libDtSvc library,,"code execution, gain root access",,local,,,,,
89,CVE-1999-0090,,7.2,HIGH,Buffer overflow in AIX rcp command allows local users to obtain root access.,NVD-CWE-Other,AIX,rcp command,,obtain root access,,local,,,,,
90,CVE-1999-0091,,7.2,HIGH,Buffer overflow in AIX writesrv command allows local users to obtain root access.,NVD-CWE-Other,,,,,,,,,,,
91,CVE-1999-0092,,7.2,HIGH,Various vulnerabilities in the AIX portmir command allows local users to obtain root access.,NVD-CWE-Other,AIX,portmir command,,local users can obtain root access,,local,,,,,
92,CVE-1999-0093,,7.2,HIGH,AIX nslookup command allows local users to obtain root access by not dropping privileges correctly.,NVD-CWE-Other,AIX,nslookup command,,local users can obtain root access,,local,,,,,
93,CVE-1999-0094,,4.6,MEDIUM,AIX piodmgrsu command allows local users to gain additional group privileges.,NVD-CWE-Other,AIX,piodmgrsu command,,additional group privileges,,local,,,,,
94,CVE-1999-0095,,10.0,HIGH,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",NVD-CWE-Other,,,,,,,,,,,
95,CVE-1999-0096,,5.0,MEDIUM,Sendmail decode alias can be used to overwrite sensitive files.,NVD-CWE-Other,,,,,,,,,,,
96,CVE-1999-0097,,10.0,HIGH,The AIX FTP client can be forced to execute commands from a malicious server through shell metacharacters (e.g. a pipe character).,NVD-CWE-Other,AIX,FTP client,,code execution,,remote,FTP,,,No,
97,CVE-1999-0098,,10.0,HIGH,Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.,NVD-CWE-Other,,Sendmail,,hide activities,,remote,SMTP,,,,
98,CVE-1999-0099,,10.0,HIGH,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,NVD-CWE-Other,,,,,,,,,,,
99,CVE-1999-0100,,10.0,HIGH,"Remote access in AIX innd 1.5.1, using control messages.",NVD-CWE-Other,AIX,innd,1.5.1,remote access using control messages,,remote,,,,,
100,CVE-1999-0101,,10.0,HIGH,,NVD-CWE-Other,"AIX, Solaris",gethostbyname library call,,root access through corrupt DNS host names,,,,,,,
101,CVE-1999-0102,,7.5,HIGH,Buffer overflow in SLmail 3.x allows attackers to execute commands using a large FROM line.,NVD-CWE-Other,,,,,,,,,,,
102,CVE-1999-0103,,5.0,MEDIUM,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",NVD-CWE-Other,,Echo and chargen UDP services,,denial of service,,remote,UDP,,,,
103,CVE-1999-0104,,5.0,MEDIUM,"A later variation on the Teardrop IP denial of service attack, a.k.a. Teardrop-2.",NVD-CWE-Other,,,,,,,,,,,
104,CVE-1999-0105,,2.1,LOW,finger allows recursive searches by using a long string of @ symbols.,NVD-CWE-Other,,,,,,,,,,,
105,CVE-1999-0106,,2.1,LOW,Finger redirection allows finger bombs.,NVD-CWE-Other,,,,,,,,,,,
106,CVE-1999-0107,,5.0,MEDIUM,Buffer overflow in Apache 1.2.5 and earlier allows a remote attacker to cause a denial of service with a large number of GET requests containing a large number of / characters.,NVD-CWE-Other,,Apache,1.2.5 and earlier,denial of service,,remote,HTTP,,,,Apache
107,CVE-1999-0108,,7.2,HIGH,The printers program in IRIX has a buffer overflow that gives root access to local users.,NVD-CWE-Other,IRIX,printers program,,code execution with root access,,local,,No,,,
108,CVE-1999-0109,,7.2,HIGH,Buffer overflow in ffbconfig in Solaris 2.5.1.,NVD-CWE-Other,,,,,,,,,,,
109,CVE-1999-0111,,5.0,MEDIUM,RIP v1 is susceptible to spoofing.,NVD-CWE-Other,,RIP v1,,spoofing,,,RIP,,,,
110,CVE-1999-0112,,7.2,HIGH,Buffer overflow in AIX dtterm program for the CDE.,NVD-CWE-Other,AIX,dtterm program for the CDE,,buffer overflow,,,,,,,
111,CVE-1999-0113,,10.0,HIGH,Some implementations of rlogin allow root access if given a -froot parameter.,NVD-CWE-Other,,,,,,,,,,,
112,CVE-1999-0114,,4.6,MEDIUM,"Local users can execute commands as other users, and read other users' files, through the filter command in the Elm elm-2.4 mail package using a symlink attack.",NVD-CWE-Other,,filter command in the Elm elm-2.4 mail package,2.4,"code execution, reading other users' files",,local,,No,user level,Yes,
113,CVE-1999-0115,,7.2,HIGH,AIX bugfiler program allows local users to gain root access.,NVD-CWE-Other,AIX,bugfiler program,,local users can gain root access,,local,,,,,
114,CVE-1999-0116,,5.0,MEDIUM,"Denial of service when an attacker sends many SYN packets to create multiple connections without ever sending an ACK to complete the connection, aka SYN flood.",NVD-CWE-Other,,unspecified network service,,denial of service,,remote,TCP (SYN packets),,,No,
115,CVE-1999-0117,,7.2,HIGH,AIX passwd allows local users to gain root access.,NVD-CWE-Other,AIX,passwd,,local users can gain root access,,local,,Yes,user level,,
116,CVE-1999-0118,,7.2,HIGH,AIX infod allows local users to gain root access through an X display.,NVD-CWE-Other,AIX,infod,,local users can gain root access,,local,,,,,
117,CVE-1999-0119,,10.0,HIGH,Windows NT 4.0 beta allows users to read and delete shares.,NVD-CWE-Other,Windows,NT 4.0 beta,,read and delete shares,,,,,,,Microsoft
118,CVE-1999-0120,,7.2,HIGH,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,NVD-CWE-Other,Sun/Solaris,utmp file,,local users can gain root access,,local,,No,,,Sun
119,CVE-1999-0121,,7.2,HIGH,Buffer overflow in dtaction command gives root access.,NVD-CWE-Other,,,,,,,,,,,
120,CVE-1999-0122,,7.2,HIGH,Buffer overflow in AIX lchangelv gives root access.,NVD-CWE-Other,AIX,lchangelv,,root access,,,,,,,
121,CVE-1999-0123,,3.7,LOW,Race condition in Linux mailx command allows local users to read user files.,NVD-CWE-Other,Linux,mailx command,,local users to read user files,,local,,No,,,
122,CVE-1999-0124,,10.0,HIGH,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,NVD-CWE-Other,,,,,,,,,,,
123,CVE-1999-0125,,4.6,MEDIUM,Buffer overflow in SGI IRIX mailx program.,NVD-CWE-Other,SGI IRIX,mailx program,,buffer overflow,,,,,,,SGI
124,CVE-1999-0126,,7.2,HIGH,SGI IRIX buffer overflow in xterm and Xaw allows root access.,NVD-CWE-Other,SGI IRIX,xterm and Xaw,,root access,,,,,,,SGI
125,CVE-1999-0127,,7.2,HIGH,swinstall and swmodify commands in SD-UX package in HP-UX systems allow local users to create or overwrite arbitrary files to gain root access.,NVD-CWE-Other,HP-UX,SD-UX package,,"code execution, file overwrite",,local,,,user,,HP
126,CVE-1999-0128,,5.0,MEDIUM,"Oversized ICMP ping packets can result in a denial of service, aka Ping o' Death.",NVD-CWE-Other,,ICMP,,denial of service,,remote,ICMP,,,,
127,CVE-1999-0129,,4.6,MEDIUM,Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.,NVD-CWE-Other,,Sendmail,,local users can write to a file and gain group permissions,,local,,No,,,
128,CVE-1999-0130,,7.2,HIGH,Local users can start Sendmail in daemon mode and gain root privileges.,NVD-CWE-Other,,Sendmail,,gain root privileges,,local,,,user,Yes,
129,CVE-1999-0131,,7.2,HIGH,Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.,NVD-CWE-Other,,,,,,,,,,,
130,CVE-1999-0132,,2.1,LOW,"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",NVD-CWE-Other,,Expreserve in vi and ex,,arbitrary files overwrite and root access gain,,local,,No,,,
131,CVE-1999-0133,,2.1,LOW,fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.,NVD-CWE-Other,,fm_fls license server for Adobe Framemaker,,arbitrary file overwrite and root access,,local,,No,,No,Adobe
132,CVE-1999-0134,,7.2,HIGH,vold in Solaris 2.x allows local users to gain root access.,NVD-CWE-Other,Solaris,vold,2.x,local users to gain root access,,local,,,,,
133,CVE-1999-0135,,7.2,HIGH,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,NVD-CWE-Other,Solaris,admintool,,gain root access,,local,,,,,
134,CVE-1999-0136,,7.2,HIGH,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,NVD-CWE-Other,Solaris,Kodak Color Management System (KCMS),,gain root access,,local,,No,,,Kodak
135,CVE-1999-0137,,7.2,HIGH,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,NVD-CWE-Other,Linux,dip program,,local users can gain root access,,local,,No,,,
136,CVE-1999-0138,,7.2,HIGH,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",NVD-CWE-Other,,suidperl and sperl,,root code execution,,,,,root,,
137,CVE-1999-0139,,7.2,HIGH,Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.,NVD-CWE-Other,Solaris,mkcookie,,code execution and root access,x86,local,,,,,
138,CVE-1999-0140,,5.0,MEDIUM,Denial of service in RAS/PPTP on NT systems.,NVD-CWE-Other,NT,RAS/PPTP,,denial of service,,,RAS/PPTP,,,,
139,CVE-1999-0141,,3.7,LOW,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,NVD-CWE-Other,,,,,,,,,,,
140,CVE-1999-0142,,7.5,HIGH,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,NVD-CWE-Other,,,,,,,,,,,
141,CVE-1999-0143,,4.6,MEDIUM,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,NVD-CWE-Other,,Kerberos 4 key servers,,user masquerading as another,,,Kerberos,,ability to break and generate session keys,,
142,CVE-1999-0144,,2.1,LOW,Denial of service in Qmail by specifying a large number of recipients with the RCPT command.,NVD-CWE-noinfo,,,,,,,,,,,
143,CVE-1999-0145,,7.2,HIGH,"Sendmail WIZ command enabled, allowing root access.",NVD-CWE-Other,,,,,,,,,,,
144,CVE-1999-0146,,7.5,HIGH,"The campas CGI program provided with some NCSA web servers allows an attacker to execute arbitrary commands via encoded carriage return characters in the query string, as demonstrated by reading the password file.",NVD-CWE-Other,,campas CGI program,,"arbitrary commands execution, code execution",,remote,HTTP,,,,NCSA
145,CVE-1999-0147,,7.5,HIGH,The aglimpse CGI program of the Glimpse package allows remote execution of arbitrary commands.,NVD-CWE-Other,,aglimpse CGI program of the Glimpse package,,remote execution of arbitrary commands,,remote,,,,,
146,CVE-1999-0148,,7.5,HIGH,The handler CGI program in IRIX allows arbitrary command execution.,NVD-CWE-Other,IRIX,handler CGI program,,arbitrary command execution,,,,,,,
147,CVE-1999-0149,,7.5,HIGH,The wrap CGI program in IRIX allows remote attackers to view arbitrary directory listings via a .. (dot dot) attack.,NVD-CWE-Other,IRIX,wrap CGI program,,view arbitrary directory listings,,remote,,,,,
148,CVE-1999-0150,,7.5,HIGH,The Perl fingerd program allows arbitrary command execution from remote users.,NVD-CWE-Other,,Perl fingerd program,,arbitrary command execution,,remote,,,,,
149,CVE-1999-0151,,7.6,HIGH,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",NVD-CWE-Other,,SATAN session key,,"disclosure of session key, potentially allowing root access",,,HTTP (implied by 'web browser'),,,Yes,
150,CVE-1999-0152,,7.5,HIGH,The DG/UX finger daemon allows remote command execution through shell metacharacters.,NVD-CWE-Other,,DG/UX finger daemon,,remote command execution,,remote,,,,,
151,CVE-1999-0153,,5.0,MEDIUM,"Windows 95/NT out of band (OOB) data denial of service through NETBIOS port, aka WinNuke.",NVD-CWE-Other,Windows 95/NT,NETBIOS,,denial of service,,OOB data through NETBIOS port,,,,,
152,CVE-1999-0154,,5.0,MEDIUM,IIS 2.0 and 3.0 allows remote attackers to read the source code for ASP pages by appending a . (dot) to the end of the URL.,NVD-CWE-Other,Windows,IIS,,,,,,,,,
153,CVE-1999-0155,,7.5,HIGH,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,NVD-CWE-Other,,ghostscript,,code execution,,remote,,,,,
