ID,CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,CWE-ID,Operating_System,Software_Component,Version,Impact,Affected_Hardware,Network_Requirements,Affected_Protocols,Authentication_Required,Privileges_Required,User_Interaction_Required,Vendor
20,CVE-1999-0021,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
21,CVE-1999-0022,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
22,CVE-1999-0023,,7.2,HIGH,NVD-CWE-Other,,rdist,,code execution with root privileges,,local,,,user,,
23,CVE-1999-0024,,5.0,MEDIUM,NVD-CWE-Other,,BIND,,DNS cache poisoning,,,DNS,,,,
24,CVE-1999-0025,,7.2,HIGH,NVD-CWE-Other,SGI IRIX,df command,,root privileges,,,,,,,SGI
25,CVE-1999-0026,,4.6,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
26,CVE-1999-0027,,7.2,HIGH,CWE-119,SGI IRIX,eject command,,root privileges,,local,,,,,SGI
27,CVE-1999-0028,,7.2,HIGH,NVD-CWE-Other,SGI IRIX,login/scheme command,,root privileges,,,,,,,SGI
28,CVE-1999-0029,,7.2,HIGH,NVD-CWE-Other,SGI IRIX,ordist command,,root privileges,,,,,,,SGI
29,CVE-1999-0030,,7.2,HIGH,NVD-CWE-Other,SGI IRIX,xlock command,,root privileges,,,,,,,SGI
30,CVE-1999-0031,,2.6,LOW,NVD-CWE-Other,,,,,,,,,,,
31,CVE-1999-0032,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
32,CVE-1999-0033,,7.2,HIGH,NVD-CWE-Other,Sun systems,at program,,command execution,,,,,,,
33,CVE-1999-0034,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
34,CVE-1999-0035,,5.1,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
35,CVE-1999-0036,,7.2,HIGH,NVD-CWE-Other,IRIX,login program,,file creation or damage,,,,Yes,,,
36,CVE-1999-0037,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
37,CVE-1999-0038,,7.2,HIGH,NVD-CWE-Other,,xlock program,,code execution as root,,local,,,,,
38,CVE-1999-0039,,7.5,HIGH,NVD-CWE-Other,SGI IRIX,webdist CGI program (webdist.cgi),,arbitrary commands execution,,remote,,,,,
39,CVE-1999-0040,,7.2,HIGH,NVD-CWE-Other,,Xt library of X Windowing System,,code execution with root privileges,,local,,,,,
40,CVE-1999-0041,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
41,CVE-1999-0042,,10.0,HIGH,NVD-CWE-Other,,IMAP and POP servers,,buffer overflow,,,"IMAP, POP",,,,University of Washington
42,CVE-1999-0043,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
43,CVE-1999-0044,,7.2,HIGH,NVD-CWE-Other,IRIX,fsdump command,,root access,,local,,,,Yes,
44,CVE-1999-0045,,7.5,HIGH,NVD-CWE-Other,,nph-test-cgi script,,List of arbitrary files on Web host,,,HTTP,,,,
45,CVE-1999-0046,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
46,CVE-1999-0047,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
47,CVE-1999-0048,,10.0,HIGH,NVD-CWE-Other,,Talkd,,arbitrary commands with root privileges,,,,,root,,
48,CVE-1999-0049,,7.2,HIGH,NVD-CWE-Other,IRIX,Csetup,,arbitrary file creation or overwriting,,,,,,,
49,CVE-1999-0050,,7.2,HIGH,NVD-CWE-Other,HP-UX,newgrp program,,buffer overflow,,,,,,,HP
50,CVE-1999-0051,,7.2,HIGH,NVD-CWE-Other,IRIX,FLEXlm LicenseManager,from 4.0 to 5.0,arbitrary file creation and program execution,,,,,,,
51,CVE-1999-0052,,5.0,MEDIUM,NVD-CWE-Other,FreeBSD,IP fragmentation,,denial of service,,remote,,,,,
52,CVE-1999-0053,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
53,CVE-1999-0054,,5.0,MEDIUM,NVD-CWE-Other,,Sun's ftpd daemon,,denial of service,,,FTP,,,,Sun
54,CVE-1999-0055,,7.2,HIGH,NVD-CWE-Other,,Sun libnsl,,root access,,,,,,,Sun
55,CVE-1999-0056,,7.2,HIGH,NVD-CWE-Other,,Sun's ping program,,"code execution, root access",,local,,No,,No,Sun
56,CVE-1999-0057,,7.5,HIGH,NVD-CWE-Other,,sendmail command,,command execution,,remote,,No,,,
57,CVE-1999-0058,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
58,CVE-1999-0059,,7.1,HIGH,NVD-CWE-Other,IRIX,fam service,,information disclosure (file list access),,remote,,No,,No,
59,CVE-1999-0060,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
60,CVE-1999-0061,,5.1,MEDIUM,NVD-CWE-Other,,BSD line printer daemon,,"file creation and deletion, remote execution",,remote,,,,,BSD
61,CVE-1999-0062,,7.2,HIGH,NVD-CWE-Other,OpenBSD,chpass command,,code execution (gaining root access),,local,,Yes,,,OpenBSD
62,CVE-1999-0063,,5.0,MEDIUM,NVD-CWE-Other,,Cisco IOS,12.0 and other versions,denial of service,,remote,"UDP, syslog",,,,Cisco
63,CVE-1999-0064,,7.2,HIGH,NVD-CWE-Other,AIX,lquerylv program,,"code execution, gives root access",,local,,,,,
64,CVE-1999-0065,,7.5,HIGH,NVD-CWE-Other,,dtmail,,code execution,,remote,,,,,
65,CVE-1999-0066,,7.5,HIGH,NVD-CWE-Other,,AnyForm CGI,,remote execution,,remote,,,,,
66,CVE-1999-0067,,10.0,HIGH,NVD-CWE-Other,,phf CGI program,,remote command execution,,remote,,,,,
67,CVE-1999-0068,,7.5,HIGH,NVD-CWE-Other,,CGI PHP mylog script,,file read access,,remote,,,,,
68,CVE-1999-0069,,7.2,HIGH,NVD-CWE-Other,Solaris,ufsrestore,,buffer overflow,,,,,,,
69,CVE-1999-0070,,5.0,MEDIUM,NVD-CWE-noinfo,,,,,,,,,,,
70,CVE-1999-0071,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
71,CVE-1999-0072,,7.2,HIGH,NVD-CWE-Other,AIX,xdat,,"code execution, root access",,local,,,,,
72,CVE-1999-0073,,10.0,HIGH,NVD-CWE-Other,,Telnet,,gain root access,,remote,Telnet,,,,
73,CVE-1999-0074,,6.4,MEDIUM,NVD-CWE-Other,,sequentially allocated TCP ports,,spoofing attacks,,,TCP,,,,
74,CVE-1999-0075,,5.0,MEDIUM,NVD-CWE-Other,,wu-ftpd daemon,,core dump,,remote,FTP,Yes,,No,
75,CVE-1999-0076,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
76,CVE-1999-0077,,5.0,MEDIUM,NVD-CWE-Other,,TCP sequence numbers,,spoofing,,,TCP,,,,
77,CVE-1999-0078,,1.9,LOW,NVD-CWE-Other,,pcnfsd,,"code execution, change file permissions",,local,RPC,No,user,,
78,CVE-1999-0079,,5.0,MEDIUM,NVD-CWE-Other,,FTP server,,denial of service,,remote,FTP,,,No,
79,CVE-1999-0080,,10.0,HIGH,NVD-CWE-Other,,wu-ftp FTP server,2.4,code execution as root,,remote,FTP,Yes,,,
80,CVE-1999-0081,,5.0,MEDIUM,NVD-CWE-Other,,wu-ftp,,files to be overwritten,,,FTP,,,,
81,CVE-1999-0082,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
82,CVE-1999-0083,,5.0,MEDIUM,NVD-CWE-Other,,FTP,,file descriptor leak,,,FTP,,,,
83,CVE-1999-0084,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
84,CVE-1999-0085,,7.5,HIGH,NVD-CWE-Other,AIX and other operating systems,rwhod,,arbitrary code execution,,remote,UDP,,,,
85,CVE-1999-0086,,5.0,MEDIUM,NVD-CWE-Other,AIX,routed,,modify sensitive files,,remote,,,,,
86,CVE-1999-0087,,5.0,MEDIUM,NVD-CWE-Other,AIX,telnet,,denial of service,,remote,telnet,,,,
87,CVE-1999-0088,,10.0,HIGH,NVD-CWE-Other,"IRIX, AIX",automountd services (autofsd),,remote users can execute root commands,,remote,,,,,
88,CVE-1999-0089,,7.2,HIGH,NVD-CWE-Other,AIX,libDtSvc library,,"code execution, gain root access",,local,,,,,
89,CVE-1999-0090,,7.2,HIGH,NVD-CWE-Other,AIX,rcp command,,obtain root access,,local,,,,,
90,CVE-1999-0091,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
91,CVE-1999-0092,,7.2,HIGH,NVD-CWE-Other,AIX,portmir command,,local users can obtain root access,,local,,,,,
92,CVE-1999-0093,,7.2,HIGH,NVD-CWE-Other,AIX,nslookup command,,local users can obtain root access,,local,,,,,
93,CVE-1999-0094,,4.6,MEDIUM,NVD-CWE-Other,AIX,piodmgrsu command,,additional group privileges,,local,,,,,
94,CVE-1999-0095,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
95,CVE-1999-0096,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
96,CVE-1999-0097,,10.0,HIGH,NVD-CWE-Other,AIX,FTP client,,code execution,,remote,FTP,,,No,
97,CVE-1999-0098,,10.0,HIGH,NVD-CWE-Other,,Sendmail,,hide activities,,remote,SMTP,,,,
98,CVE-1999-0099,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
99,CVE-1999-0100,,10.0,HIGH,NVD-CWE-Other,AIX,innd,1.5.1,remote access using control messages,,remote,,,,,
100,CVE-1999-0101,,10.0,HIGH,NVD-CWE-Other,"AIX, Solaris",gethostbyname library call,,root access through corrupt DNS host names,,,,,,,
101,CVE-1999-0102,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
102,CVE-1999-0103,,5.0,MEDIUM,NVD-CWE-Other,,Echo and chargen UDP services,,denial of service,,remote,UDP,,,,
103,CVE-1999-0104,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
104,CVE-1999-0105,,2.1,LOW,NVD-CWE-Other,,,,,,,,,,,
105,CVE-1999-0106,,2.1,LOW,NVD-CWE-Other,,,,,,,,,,,
106,CVE-1999-0107,,5.0,MEDIUM,NVD-CWE-Other,,Apache,1.2.5 and earlier,denial of service,,remote,HTTP,,,,Apache
107,CVE-1999-0108,,7.2,HIGH,NVD-CWE-Other,IRIX,printers program,,code execution with root access,,local,,No,,,
108,CVE-1999-0109,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
109,CVE-1999-0111,,5.0,MEDIUM,NVD-CWE-Other,,RIP v1,,spoofing,,,RIP,,,,
110,CVE-1999-0112,,7.2,HIGH,NVD-CWE-Other,AIX,dtterm program for the CDE,,buffer overflow,,,,,,,
111,CVE-1999-0113,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
112,CVE-1999-0114,,4.6,MEDIUM,NVD-CWE-Other,,filter command in the Elm elm-2.4 mail package,2.4,"code execution, reading other users' files",,local,,No,user level,Yes,
113,CVE-1999-0115,,7.2,HIGH,NVD-CWE-Other,AIX,bugfiler program,,local users can gain root access,,local,,,,,
114,CVE-1999-0116,,5.0,MEDIUM,NVD-CWE-Other,,unspecified network service,,denial of service,,remote,TCP (SYN packets),,,No,
115,CVE-1999-0117,,7.2,HIGH,NVD-CWE-Other,AIX,passwd,,local users can gain root access,,local,,Yes,user level,,
116,CVE-1999-0118,,7.2,HIGH,NVD-CWE-Other,AIX,infod,,local users can gain root access,,local,,,,,
117,CVE-1999-0119,,10.0,HIGH,NVD-CWE-Other,Windows,NT 4.0 beta,,read and delete shares,,,,,,,Microsoft
118,CVE-1999-0120,,7.2,HIGH,NVD-CWE-Other,Sun/Solaris,utmp file,,local users can gain root access,,local,,No,,,Sun
119,CVE-1999-0121,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
120,CVE-1999-0122,,7.2,HIGH,NVD-CWE-Other,AIX,lchangelv,,root access,,,,,,,
121,CVE-1999-0123,,3.7,LOW,NVD-CWE-Other,Linux,mailx command,,local users to read user files,,local,,No,,,
122,CVE-1999-0124,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
123,CVE-1999-0125,,4.6,MEDIUM,NVD-CWE-Other,SGI IRIX,mailx program,,buffer overflow,,,,,,,SGI
124,CVE-1999-0126,,7.2,HIGH,NVD-CWE-Other,SGI IRIX,xterm and Xaw,,root access,,,,,,,SGI
125,CVE-1999-0127,,7.2,HIGH,NVD-CWE-Other,HP-UX,SD-UX package,,"code execution, file overwrite",,local,,,user,,HP
126,CVE-1999-0128,,5.0,MEDIUM,NVD-CWE-Other,,ICMP,,denial of service,,remote,ICMP,,,,
127,CVE-1999-0129,,4.6,MEDIUM,NVD-CWE-Other,,Sendmail,,local users can write to a file and gain group permissions,,local,,No,,,
128,CVE-1999-0130,,7.2,HIGH,NVD-CWE-Other,,Sendmail,,gain root privileges,,local,,,user,Yes,
129,CVE-1999-0131,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
130,CVE-1999-0132,,2.1,LOW,NVD-CWE-Other,,Expreserve in vi and ex,,arbitrary files overwrite and root access gain,,local,,No,,,
131,CVE-1999-0133,,2.1,LOW,NVD-CWE-Other,,fm_fls license server for Adobe Framemaker,,arbitrary file overwrite and root access,,local,,No,,No,Adobe
132,CVE-1999-0134,,7.2,HIGH,NVD-CWE-Other,Solaris,vold,2.x,local users to gain root access,,local,,,,,
133,CVE-1999-0135,,7.2,HIGH,NVD-CWE-Other,Solaris,admintool,,gain root access,,local,,,,,
134,CVE-1999-0136,,7.2,HIGH,NVD-CWE-Other,Solaris,Kodak Color Management System (KCMS),,gain root access,,local,,No,,,Kodak
135,CVE-1999-0137,,7.2,HIGH,NVD-CWE-Other,Linux,dip program,,local users can gain root access,,local,,No,,,
136,CVE-1999-0138,,7.2,HIGH,NVD-CWE-Other,,suidperl and sperl,,root code execution,,,,,root,,
137,CVE-1999-0139,,7.2,HIGH,NVD-CWE-Other,Solaris,mkcookie,,code execution and root access,x86,local,,,,,
138,CVE-1999-0140,,5.0,MEDIUM,NVD-CWE-Other,NT,RAS/PPTP,,denial of service,,,RAS/PPTP,,,,
139,CVE-1999-0141,,3.7,LOW,NVD-CWE-Other,,,,,,,,,,,
140,CVE-1999-0142,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
141,CVE-1999-0143,,4.6,MEDIUM,NVD-CWE-Other,,Kerberos 4 key servers,,user masquerading as another,,,Kerberos,,ability to break and generate session keys,,
142,CVE-1999-0144,,2.1,LOW,NVD-CWE-noinfo,,,,,,,,,,,
143,CVE-1999-0145,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
144,CVE-1999-0146,,7.5,HIGH,NVD-CWE-Other,,campas CGI program,,"arbitrary commands execution, code execution",,remote,HTTP,,,,NCSA
145,CVE-1999-0147,,7.5,HIGH,NVD-CWE-Other,,aglimpse CGI program of the Glimpse package,,remote execution of arbitrary commands,,remote,,,,,
146,CVE-1999-0148,,7.5,HIGH,NVD-CWE-Other,IRIX,handler CGI program,,arbitrary command execution,,,,,,,
147,CVE-1999-0149,,7.5,HIGH,NVD-CWE-Other,IRIX,wrap CGI program,,view arbitrary directory listings,,remote,,,,,
148,CVE-1999-0150,,7.5,HIGH,NVD-CWE-Other,,Perl fingerd program,,arbitrary command execution,,remote,,,,,
149,CVE-1999-0151,,7.6,HIGH,NVD-CWE-Other,,SATAN session key,,"disclosure of session key, potentially allowing root access",,,HTTP (implied by 'web browser'),,,Yes,
150,CVE-1999-0152,,7.5,HIGH,NVD-CWE-Other,,DG/UX finger daemon,,remote command execution,,remote,,,,,
151,CVE-1999-0153,,5.0,MEDIUM,NVD-CWE-Other,Windows 95/NT,NETBIOS,,denial of service,,OOB data through NETBIOS port,,,,,
152,CVE-1999-0154,,5.0,MEDIUM,NVD-CWE-Other,Windows,IIS,,,,,,,,,
153,CVE-1999-0155,,7.5,HIGH,NVD-CWE-Other,,ghostscript,,code execution,,remote,,,,,
154,CVE-1999-0156,,4.6,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
155,CVE-1999-0157,,5.0,MEDIUM,NVD-CWE-Other,,Cisco PIX firewall and CBAC,,denial of service,,,IP fragmentation,,,,Cisco
156,CVE-1999-0158,,5.0,MEDIUM,NVD-CWE-Other,Windows NT,Cisco PIX firewall manager (PFM),,retrieve any file,,remote,HTTP (port 8080),No,,,Cisco
157,CVE-1999-0159,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
158,CVE-1999-0160,,7.5,HIGH,NVD-CWE-Other,,Cisco IOS,,unauthorized PPP connections,classic Cisco IOS devices,,PPP,Yes,,,Cisco
159,CVE-1999-0161,,7.5,HIGH,NVD-CWE-Other,,Cisco IOS,10.3,bypass filtering,,,IP,tacacs-ds or tacacs,,,Cisco
160,CVE-1999-0162,,5.0,MEDIUM,NVD-CWE-Other,,Cisco IOS software,,bypass filtering,,,,,,,Cisco
161,CVE-1999-0163,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
162,CVE-1999-0164,,6.2,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
163,CVE-1999-0165,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
164,CVE-1999-0166,,5.0,MEDIUM,NVD-CWE-Other,,NFS,,access to other directories,,,NFS,,,Yes,
165,CVE-1999-0167,,4.6,MEDIUM,NVD-CWE-Other,SunOS,NFS,,unauthorized access to the exported file system,,,NFS,,,,
166,CVE-1999-0168,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
167,CVE-1999-0169,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
168,CVE-1999-0170,,7.5,HIGH,NVD-CWE-Other,Ultrix or OSF,NFS file system,,mount an NFS file system,,remote,NFS,,,,
169,CVE-1999-0171,,2.1,LOW,NVD-CWE-Other,,,,,,,,,,,
170,CVE-1999-0172,,7.5,HIGH,NVD-CWE-Other,,FormMail CGI program,,remote execution of commands,,remote,,,,,
171,CVE-1999-0173,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
172,CVE-1999-0174,,6.4,MEDIUM,NVD-CWE-Other,,view-source CGI program,,read arbitrary files,,remote,,,,,
173,CVE-1999-0175,,5.0,MEDIUM,NVD-CWE-Other,,convert.bas program in the Novell web server,,read any file on the system,,remote,,,,,Novell
174,CVE-1999-0176,,7.5,HIGH,NVD-CWE-Other,,Webgais program,,arbitrary commands execution,,remote,,,,,
175,CVE-1999-0177,,7.5,HIGH,NVD-CWE-Other,,uploader program in the WebSite web server,,arbitrary programs execution,,remote,,,,,
176,CVE-1999-0178,,7.5,HIGH,NVD-CWE-Other,,win-c-sample program,1.1e,arbitrary code execution,,remote,HTTP,,,,
177,CVE-1999-0179,,5.0,MEDIUM,CWE-17,,,,,,,,,,,
178,CVE-1999-0180,,7.5,HIGH,NVD-CWE-Other,,in.rshd,,code execution,,remote,rsh,No,,,
179,CVE-1999-0181,,6.8,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
180,CVE-1999-0182,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
181,CVE-1999-0183,,6.4,MEDIUM,NVD-CWE-Other,Linux,TFTP,,access to files outside the restricted directory,,,TFTP,,,,
182,CVE-1999-0184,,6.4,MEDIUM,NVD-CWE-Other,,bind,,malicious modification of DNS records,,,DNS,,-DALLOW_UPDATES option,,
183,CVE-1999-0185,,7.5,HIGH,NVD-CWE-Other,SunOS or Solaris,rlogin server,,remote command execution,,remote,"FTP, rlogin",No,,No,
184,CVE-1999-0186,,10.0,HIGH,NVD-CWE-Other,Solaris,SNMP subagent,,"arbitrary commands execution, modifying system parameters",,remote,SNMP,No,root,,
185,CVE-1999-0188,,7.2,HIGH,NVD-CWE-Other,Solaris,passwd command,,denial of service,,,,,,,
186,CVE-1999-0189,,7.5,HIGH,NVD-CWE-Other,Solaris,rpcbind,,,,,UDP,,,,
187,CVE-1999-0190,,7.2,HIGH,NVD-CWE-Other,Solaris,rpcbind,,arbitrary file overwrite and root access,,,,,,,
188,CVE-1999-0191,,6.4,MEDIUM,NVD-CWE-Other,,IIS newdsn.exe CGI script,,file overwrite,,remote,,,,,IIS
189,CVE-1999-0192,,10.0,HIGH,NVD-CWE-Other,,telnet daemon,,code execution and root access,,remote,telnet,,,,
190,CVE-1999-0193,,5.0,MEDIUM,NVD-CWE-Other,,Ascend and 3com routers,,denial of service,routers,remote,TCP,,,,Ascend and 3com
191,CVE-1999-0194,,5.0,MEDIUM,NVD-CWE-Other,,in.comsat,,denial of service,,remote,,,,,
192,CVE-1999-0195,,5.0,MEDIUM,NVD-CWE-Other,,RPC portmapper,,denial of service,,remote,RPC,,,,
193,CVE-1999-0196,,5.0,MEDIUM,NVD-CWE-Other,,websendmail,1.0,arbitrary files access and code execution,,remote,,,,,Webgais
194,CVE-1999-0197,,10.0,HIGH,NVD-CWE-Other,,finger,,information disclosure,,local,,,,,
195,CVE-1999-0198,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
196,CVE-1999-0199,9.8,7.5,CRITICAL,CWE-252,,GNU C Library,before 2.2,access a dangling pointer,,,,,,,GNU
197,CVE-1999-0200,,10.0,HIGH,NVD-CWE-Other,Windows,Windows NT FTP server (WFTP),,unauthorized access,,remote,FTP,Yes,unclear,No,
198,CVE-1999-0201,,6.4,MEDIUM,NVD-CWE-Other,,FTP servers,,information disclosure,,remote,FTP,No,,,
199,CVE-1999-0202,,7.5,HIGH,NVD-CWE-Other,,GNU tar command,,arbitrary commands execution,,remote (FTP sessions),FTP,,,,GNU
200,CVE-1999-0203,,10.0,HIGH,NVD-CWE-Other,,Sendmail,,gain root privileges,,SMTP (remote),SMTP,,,Yes,
201,CVE-1999-0204,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
202,CVE-1999-0205,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
203,CVE-1999-0206,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
204,CVE-1999-0207,,7.5,HIGH,NVD-CWE-Other,,,,,,,,,,,
205,CVE-1999-0208,,10.0,HIGH,NVD-CWE-Other,,rpc.ypupdated,,arbitrary commands execution,,remote,NIS,,,,
206,CVE-1999-0209,,5.0,MEDIUM,NVD-CWE-Other,,SunView (SunTools) selection_svc,,read files,,remote,,,,,Sun
207,CVE-1999-0210,,10.0,HIGH,NVD-CWE-Other,,automount daemon automountd,,privilege escalation,,local or remote,,,,,
208,CVE-1999-0211,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
209,CVE-1999-0212,,7.8,HIGH,NVD-CWE-Other,Solaris,rpc.mountd,,information disclosure,,remote,,,,,
210,CVE-1999-0213,,10.0,HIGH,NVD-CWE-Other,Solaris,libnsl,,denial of service,,,rpcbind,,,,
211,CVE-1999-0214,,10.0,HIGH,NVD-CWE-Other,,ICMP,,denial of service,,remote,ICMP,,,No,
212,CVE-1999-0215,,6.4,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
213,CVE-1999-0216,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
214,CVE-1999-0217,,5.0,MEDIUM,NVD-CWE-Other,SunOS,UDP packets handling,4.1.3,reboot,,remote,UDP,,,,
215,CVE-1999-0218,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
216,CVE-1999-0219,,7.8,HIGH,NVD-CWE-Other,,FTP Serv-U,2.5,denial of service (crash),,remote,FTP,Yes,,No,
217,CVE-1999-0220,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
218,CVE-1999-0221,,5.0,MEDIUM,NVD-CWE-Other,,Ascend routers,,denial of service,Ascend routers,remote,150 (remote administration),,,,
219,CVE-1999-0222,,5.0,MEDIUM,NVD-CWE-Other,,Cisco IOS web server,,denial of service,router,remote,HTTP,,,No,Cisco
220,CVE-1999-0223,,2.1,LOW,NVD-CWE-Other,Solaris,syslogd,,denial of service,,remote,,,,,
221,CVE-1999-0224,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
222,CVE-1999-0225,,5.0,MEDIUM,NVD-CWE-Other,Windows,SMB logon service,NT 4.0,denial of service,,remote,SMB,,,,
223,CVE-1999-0226,,10.0,HIGH,CWE-19,,,,,,,,,,,
224,CVE-1999-0227,,5.0,MEDIUM,CWE-264,,,,,,,,,,,
225,CVE-1999-0228,,5.0,MEDIUM,NVD-CWE-noinfo,,,,,,,,,,,
226,CVE-1999-0229,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
227,CVE-1999-0230,,5.0,MEDIUM,NVD-CWE-Other,,Cisco 7xx routers,,buffer overflow,Cisco 7xx routers,remote,telnet,,,,Cisco
228,CVE-1999-0231,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
229,CVE-1999-0232,,10.0,HIGH,NVD-CWE-Other,,NCSA WebServer,1.5c,remote access,,remote,,,,,
230,CVE-1999-0233,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
231,CVE-1999-0234,,4.6,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
232,CVE-1999-0235,,10.0,HIGH,NVD-CWE-Other,,NCSA WebServer,1.4.1 and below,remote access,,remote,,,,,
233,CVE-1999-0236,7.5,5.0,HIGH,CWE-200,,NCSA and Apache httpd,,read CGI programs,,,HTTP,,,,Apache
234,CVE-1999-0237,,7.5,HIGH,NVD-CWE-Other,,Guestbook CGI program,,remote execution of arbitrary commands,,remote,,,,,
235,CVE-1999-0238,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
